continent,country,month,year,type,category_id
North America,United States,September,2020,Phishing,7
North America,United States,September,2013,Zero-Day Exploit,9
North America,United States,September,2019,Zero-Day Exploit,9
North America,Unites States,March,2009,Malware,5
Asia,Uzbekistan,March,2020,Malware,5
Asia,Vietnam,April,2021,Espionage,4
Asia,Vietnam,February,2021,Espionage,4
Asia,Vietnam,March,2010,Phishing,7
Asia,Vietnam,May,2020,Phishing,7
Asia,Vietnam,February,2019,Espionage,4
Asia,Yemen,February,2021,APT,0
